dataset,metric,block_size,max_distance,dpm_file_name,score,execution_time
books,structural_similarity_index,5,48,disp_structural_similarity_index_books_5_48.png,-0.02328562883909405,2.849
books,structural_similarity_index,5,52,disp_structural_similarity_index_books_5_52.png,-0.06650694056039451,3.0927
books,structural_similarity_index,5,56,disp_structural_similarity_index_books_5_56.png,-0.11745038003086622,3.4448
books,structural_similarity_index,5,60,disp_structural_similarity_index_books_5_60.png,-0.19769167994213732,3.6623
books,structural_similarity_index,5,64,disp_structural_similarity_index_books_5_64.png,-0.22910009630190428,3.644
books,structural_similarity_index,5,68,disp_structural_similarity_index_books_5_68.png,-0.24913218234550205,3.5606
books,structural_similarity_index,5,72,disp_structural_similarity_index_books_5_72.png,-0.259561424650644,3.6545
books,structural_similarity_index,5,76,disp_structural_similarity_index_books_5_76.png,-0.262246814032819,3.9188
books,structural_similarity_index,7,40,disp_structural_similarity_index_books_7_40.png,0.019892688718078498,3.499
books,structural_similarity_index,7,44,disp_structural_similarity_index_books_7_44.png,0.0031022346414327122,3.6023
books,structural_similarity_index,7,48,disp_structural_similarity_index_books_7_48.png,-0.028374275301606806,3.7947
books,structural_similarity_index,7,52,disp_structural_similarity_index_books_7_52.png,-0.0761639666561811,4.0022
books,structural_similarity_index,7,56,disp_structural_similarity_index_books_7_56.png,-0.12917533025237196,4.2362
books,structural_similarity_index,7,60,disp_structural_similarity_index_books_7_60.png,-0.21258435935141715,4.4373
books,structural_similarity_index,7,64,disp_structural_similarity_index_books_7_64.png,-0.24080737619243536,4.6198
books,structural_similarity_index,7,68,disp_structural_similarity_index_books_7_68.png,-0.2582466644741944,4.9568
books,structural_similarity_index,7,72,disp_structural_similarity_index_books_7_72.png,-0.2659744987163531,5.1217
books,structural_similarity_index,7,76,disp_structural_similarity_index_books_7_76.png,-0.2683544848097942,5.2839
books,structural_similarity_index,9,40,disp_structural_similarity_index_books_9_40.png,0.019293038404011986,4.5805
books,structural_similarity_index,9,44,disp_structural_similarity_index_books_9_44.png,0.001275247729009082,4.7409
books,structural_similarity_index,9,48,disp_structural_similarity_index_books_9_48.png,-0.031325982577810094,5.0532
books,structural_similarity_index,9,52,disp_structural_similarity_index_books_9_52.png,-0.08196155071750767,5.3268
books,structural_similarity_index,9,56,disp_structural_similarity_index_books_9_56.png,-0.13515044322160089,5.6881
