dataset,metric,block_size,occluson_cost,dpm_file_name,score,execution_time
reindeer,sum_of_squared_differences,3,500.0,dp_disp_sum_of_squared_differences_reindeer_3_500.0.png,12908397.444452383,4.8523
reindeer,sum_of_squared_differences,3,600.0,dp_disp_sum_of_squared_differences_reindeer_3_600.0.png,13392595.111119624,4.6654
reindeer,sum_of_squared_differences,3,700.0,dp_disp_sum_of_squared_differences_reindeer_3_700.0.png,13558018.44445331,4.7378
reindeer,sum_of_squared_differences,3,800.0,dp_disp_sum_of_squared_differences_reindeer_3_800.0.png,13510562.44445337,4.7517
reindeer,sum_of_squared_differences,3,900.0,dp_disp_sum_of_squared_differences_reindeer_3_900.0.png,13449025.777786477,5.0932
reindeer,sum_of_squared_differences,3,1000.0,dp_disp_sum_of_squared_differences_reindeer_3_1000.0.png,13392357.111119676,5.0136
reindeer,sum_of_squared_differences,5,100.0,dp_disp_sum_of_squared_differences_reindeer_5_100.0.png,2527622810.778478,5.4793
reindeer,sum_of_squared_differences,5,200.0,dp_disp_sum_of_squared_differences_reindeer_5_200.0.png,1866395397.1102107,5.4002
reindeer,sum_of_squared_differences,5,300.0,dp_disp_sum_of_squared_differences_reindeer_5_300.0.png,1226402278.4449532,5.355
reindeer,sum_of_squared_differences,5,400.0,dp_disp_sum_of_squared_differences_reindeer_5_400.0.png,735203427.1117327,5.4138
reindeer,sum_of_squared_differences,5,500.0,dp_disp_sum_of_squared_differences_reindeer_5_500.0.png,500781758.4439958,5.3416
reindeer,sum_of_squared_differences,5,600.0,dp_disp_sum_of_squared_differences_reindeer_5_600.0.png,343661457.7774565,5.2253
reindeer,sum_of_squared_differences,5,700.0,dp_disp_sum_of_squared_differences_reindeer_5_700.0.png,234507403.11100444,5.2684
reindeer,sum_of_squared_differences,5,800.0,dp_disp_sum_of_squared_differences_reindeer_5_800.0.png,128340606.44431996,5.1426
reindeer,sum_of_squared_differences,5,900.0,dp_disp_sum_of_squared_differences_reindeer_5_900.0.png,98387682.44437487,5.0112
reindeer,sum_of_squared_differences,5,1000.0,dp_disp_sum_of_squared_differences_reindeer_5_1000.0.png,82543226.1110811,5.3676
reindeer,sum_of_squared_differences,7,100.0,dp_disp_sum_of_squared_differences_reindeer_7_100.0.png,3257420147.1122365,6.3324
reindeer,sum_of_squared_differences,7,200.0,dp_disp_sum_of_squared_differences_reindeer_7_200.0.png,2641222825.11176,6.0836
reindeer,sum_of_squared_differences,7,300.0,dp_disp_sum_of_squared_differences_reindeer_7_300.0.png,2281861956.1105533,6.011
reindeer,sum_of_squared_differences,7,400.0,dp_disp_sum_of_squared_differences_reindeer_7_400.0.png,2057720765.1099663,6.0644
reindeer,sum_of_squared_differences,7,500.0,dp_disp_sum_of_squared_differences_reindeer_7_500.0.png,1841024945.7770011,6.0851
